Wiedza Ogólna i Ciekawostki;Ciało Człowieka;trudne;Jak nazywa się kwas obecny w żołądku człowieka, który odpowiada za procesy trawienne i eliminację drobnoustrojów?;Kwas solny;Kwas siarkowy;Kwas azotowy;Kwas octowy
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;trudne;Jak nazywa się najdłuższy nerw w ludzkim ciele, który biegnie od dolnej części kręgosłupa aż do stopy?;Nerw kulszowy;Nerw udowy;Nerw błędny;Nerw strzałkowy
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;trudne;Jak nazywa się największy gruczoł w organizmie człowieka, ważący u dorosłego około 1,5 kg?;Wątroba;Trzustka;Tarczyca;Śledziona
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;trudne;Jaka kość jest bezwzględnie najmniejszą kością w ciele człowieka, umiejscowioną głęboko w uchu środkowym?;Strzemiączko;Kowadełko;Młoteczek;Gnykowa
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;trudne;Jaki organ w ciele człowieka jako jedyny posiada zdolność do niemal całkowitej regeneracji, nawet po usunięciu 75% jego objętości?;Wątroba;Trzustka;Płuco;Nerka
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;trudne;Który gruczoł dokrewny w ludzkim mózgu wydziela hormon melatoninę odpowiedzialny za regulację rytmu dobowego?;Szyszynka (epifiza);Przysadka mózgowa;Tarczyca;Nadnercza
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;łatwe;Co paradoksalnie według twardej medycyny stanowi absolutnie największy powierzchniowo organ całego naszego ludzkiego organizmu, pełniący kluczowe funkcje obronne i chłodzące ciało?;Skóra;Jelito cienkie;Wątroba;Płuca
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;łatwe;Jak fachowo nazywa się czerwony barwnik ukryty we krwi, który jest bezpośrednio i fizycznie odpowiedzialny za niezbędne transportowanie tlenu z naszych płuc do wszystkich komórek?;Hemoglobina;Melanina;Insulina;Adrenalina
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;łatwe;Jaka kostna struktura jest oficjalnie największą, a zarazem najcięższą i najsilniejszą kością w całym układzie szkieletowym dorosłego człowieka?;Kość udowa;Miednica;Kość piszczelowa;Łopatka
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;łatwe;Jaka mocna, wypukła i twarda kostna struktura ochronna bezpośrednio zabezpiecza nasz bardzo miękki i delikatny mózg przed wszelkimi uderzeniami i wstrząsami z otoczenia?;Czaszka;Mostek;Miednica;Kręgosłup szyjny
